system:index,elevation,nwsli,.geo
00000000000000000079_0,1599.1381,CHFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,2205.032,CHMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,1602.4397,CHOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,2918.2573,CHPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,81.26766,CICC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,1266.4182,CISC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,1814.7004,CKGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,277.76413,CKPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,1664.9342,CLBC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,765.82104,CLCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,523.056,CLHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,1165.915,CLNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,121.50154,CMAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,995.73486,CMNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,497.23102,CMOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,190.06279,CNAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,2019.8396,CNFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,1209.8118,CNIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,577.25885,CNSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,173.28754,COGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,962.37305,COKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,481.1468,COVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,1011.9329,COWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,2378.1682,CPLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,541.5469,CQHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,1643.7518,CRAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,90.59018,CRGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,3176.0706,CRLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,2291.1145,CRVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,1199.7822,CRZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,710.2382,CSPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,483.1528,CSTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,193.20717,CSVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,1962.4644,CSWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,1124.9471,CSXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,1942.3762,CSZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,269.21292,CTGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,1037.2177,CTNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,100.14625,CTOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,1600.0585,CUUC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,769.64514,CUVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,381.9771,CVBC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,1724.3422,CVEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,2544.1838,CVMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,1708.243,CVNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,1034.823,CVSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,3105.9307,CWDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,467.02063,CWNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,542.89484,CXPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,1698.2255,CYVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,706.5377,CZRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,565.3228,DBLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,2839.6003,DDMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,355.62183,DDWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,716.43677,DEMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,1084.0831,DENC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,-53.211964,DEVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,2425.39,DEXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,11.10836,DICC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,1222.1941,DKFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,1744.7322,DKYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,1724.8529,DLCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,414.18848,DLVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,531.5242,DNPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,896.81616,DNVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,1800.7473,DOGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,1209.3036,DPHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,2129.2102,DPKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,-28.103048,DPMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,2440.2942,DPPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,261.45163,DPWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,100.01944,DRFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,2180.9766,DUCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,963.0791,DUDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,911.33105,DUEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,700.7213,DUIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,634.59467,DVOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,183.95122,DVRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,1321.4845,DYLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,2026.9264,EAGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,1387.0127,ECKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,782.0139,ECSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0,184.1849,EDRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,495.493,EELC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,185.03635,ELWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,2.7622972,ELXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,879.3201,EMRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,1129.9359,EPKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,352.4664,EPRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,24.517666,EPTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,630.56836,EPWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,144.18214,ERCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,2883.846,ERYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,779.6876,ESPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,908.6607,EVLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,250.61499,EXQC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,342.5723,FBOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,850.86926,FBSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0,237.08374,FBZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,280.8381,FCHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0,143.5734,FFHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0,959.063,FGMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,3130.2612,FGOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,347.56744,FHCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1_0,335.44305,FHLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,1818.543,FLAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0,456.5721,FLWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0,1345.6732,FMOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,1249.2998,FMRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0,1579.5995,FNWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,2284.5093,FOIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0,536.4288,FRCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,171.36801,FRIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0,1313.0077,FSHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,245.00943,FTNC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,2106.5007,FWSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0,2051.6199,GDLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0,913.7171,GEOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0,2147.228,GFTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0,495.01382,GISC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0,1402.0966,GKSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0,1565.5973,GMOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0,1403.8541,GMTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,2543.9705,GNLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
