nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
16FDF3BE,COWN6,NY,43.0956,-75.7511,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
166473D0,CPNN6,NY,42.9181,-77.2328,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
170F73E8,CRCN6,NY,42.2047,-79.31,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
DDA29170,CREN6,NY,42.9531,-78.6031,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
DD8321EA,CRNN6,NY,42.1464,-77.0578,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD83A7FE,CRTN6,NY,42.6028,-76.1597,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF09DA12,CRXN6,NY,43.1,-76.4981,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF10685E,CSTN6,NY,41.8489,-74.5317,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DF11A168,CTEN6,NY,42.3283,-76.8439,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16F920EC,CTTN6,NY,43.0231,-75.8586,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17C6A7B8,CZRN6,NY,45,-73.5008,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
5180B1A4,DDMN6,NY,43.2747,-75.4278,CANALS,HP,PP,TA,XR,VB,,,,,,,,,,,,,,,,,,,
17F4A43C,DELN6,NY,42.2803,-74.9075,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
166686A0,DNNN6,NY,43.7469,-75.3333,USGS01,HG,TA,TW,,,,,,,,,,,,,,,,,,,,,
DDAD6766,DRDN6,NY,42.6803,-76.9539,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17F4B74A,DRYN6,NY,42.1467,-74.6236,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE7EC8DA,DSVN6,NY,42.5833,-77.715,CELRB1,HG,PC,VB,HG,,,,,,,,,,,,,,,,,,,,
17E033FA,DUNN6,NY,42.1061,-74.7308,USGS01,HG,WC,TW,,,,,,,,,,,,,,,,,,,,,
1763C3C8,DWNN6,NY,42.075,-74.9767,USGS01,HG,HG,TW,,,,,,,,,,,,,,,,,,,,,
17E070F0,EAGN6,NY,42.9386,-73.3775,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
177A21F8,EBNN6,NY,41.9253,-74.5406,USGS01,HG,HB,TW,WC,,,,,,,,,,,,,,,,,,,,
1712B20E,EBZN6,NY,42.8294,-78.775,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
518186C4,ECLN6,NY,43.2386,-76.1964,CANALS,HT,HP,VB,,,,,,,,,,,,,,,,,,,,,
16F8F47E,ECRN6,NY,43.0167,-74.7408,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DEF04448,EDTN6,NY,42.69,-75.27,SIDNEY,PC,MV,,,,,,,,,,,,,,,,,,,,,,
5181A028,EGLN6,NY,43.0592,-76.8383,CANALS,HP,HT,VB,,,,,,,,,,,,,,,,,,,,,
5181B35E,ELYN6,NY,43.0622,-76.9969,CANALS,HG,TA,XR,VB,,,,,,,,,,,,,,,,,,,,
12C013D2,EPCN6,NY,42.7428,-74.3269,SCSWCD,HG,,,,,,,,,,,,,,,,,,,,,,,
DD816714,ERWN6,NY,42.1167,-77.1333,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE596BF8,ESDN6,NY,42.3278,-75.2283,CENAB1,TA,HP,PC,,,,,,,,,,,,,,,,,,,,,
CE5913BA,ESIN6,NY,42.3331,-75.2344,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
518195B2,ETRN6,NY,42.9989,-76.7622,CANALS,HP,HT,PP,TA,XR,VB,,,,,,,,,,,,,,,,,,
163EB3DE,EUCN6,NY,43.2053,-76.2178,USGS01,HG,HG,WV,,,,,,,,,,,,,,,,,,,,,
DF023A48,EVCN6,NY,42.6572,-79.0356,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDA533BC,EWAN6,NY,42.1728,-75.1217,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF099918,FAIN6,NY,43.3503,-76.7089,USGS01,HP,HP,,,,,,,,,,,,,,,,,,,,,,
DDB02094,FDAN6,NY,42.4506,-79.3506,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE07357C,FDLN6,NY,42.1175,-79.7403,CELRP1,PC,,,,,,,,,,,,,,,,,,,,,,,
518207DE,FGFN6,NY,42.8328,-75.6725,CANALS,HP,VB,,,,,,,,,,,,,,,,,,,,,,
16D2D22E,FICN6,NY,40.6244,-73.2592,NWSERH,DY,TA,PC,PC,US,UD,UP,UR,VB,,,,,,,,,,,,,,,
DF073D88,FIRN6,NY,40.6914,-72.9894,USGS01,HM,US,UD,PC,,,,,,,,,,,,,,,,,,,,
CE19401A,FKNN6,NY,42.3294,-78.4636,CELRP1,PC,,,,,,,,,,,,,,,,,,,,,,,
DE49263A,FLCN6,NY,42.1128,-79.2036,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1746B376,FLIN6,NY,42.9578,-77.0683,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
16939002,FLLN6,NY,42.4533,-76.4728,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17E0561C,FLMN6,NY,44.0206,-75.7603,USGS01,HB,,,,,,,,,,,,,,,,,,,,,,,
3B03A08C,FLQN6,NY,42.3539,-73.7892,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,WF,VB,,,,,,,,,,,,,,
175FA1C2,FLXN6,NY,40.9628,-73.1431,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
DD901A32,FODN6,NY,42.9503,-74.3711,USGS01,HG,TW,HG,WV,WT,,,,,,,,,,,,,,,,,,,
12C000A4,FOXN6,NY,42.6828,-74.3083,SCSWCD,HG,,,,,,,,,,,,,,,,,,,,,,,
171EB392,FRFN6,NY,43.0269,-75.1044,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17D737BE,FRPN6,NY,40.6275,-73.5758,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
DD0E3642,FSHN6,NY,41.9731,-75.1744,USGS01,HG,TW,HG,TW,,,,,,,,,,,,,,,,,,,,
DD81528E,FTEN6,NY,43.2667,-73.5833,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16FDE0C8,FTPN6,NY,42.9292,-74.6328,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
17D62632,FVYN6,NY,41.9961,-74.5003,USGS01,HG,TA,TW,WC,,,,,,,,,,,,,,,,,,,,
CE7ED57E,GARN6,NY,43.01,-77.7917,CELRB1,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DD2334CA,GBRN6,NY,42.3972,-74.4508,USGS01,HG,HG,VB,,,,,,,,,,,,,,,,,,,,,
176A4380,GDVN6,NY,42.8547,-78.7564,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
51823244,GICN6,NY,42.9825,-76.0694,CANALS,HP,PP,TA,XR,VB,,,,,,,,,,,,,,,,,,,
DD2327BC,GILN6,NY,42.3558,-74.445,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
DDBC7174,GLWN6,NY,43.0308,-73.9275,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
625030F2,GMFN6,NY,42.1,-77.0997,NYSFDR,PC,US,UD,TA,MT,XR,VB,MM,UR,UP,RW,,,,,,,,,,,,,
DF137C26,GMRN6,NY,41.5958,-74.4683,USGS01,HG,WC,TW,,,,,,,,,,,,,,,,,,,,,
CE49F7D6,GNEN6,NY,42.3244,-75.7717,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
51831652,GNVN6,NY,42.8617,-76.9811,CANALS,HP,TA,XR,VB,,,,,,,,,,,,,,,,,,,,
1678B0CC,GOWN6,NY,42.4633,-78.9344,USGS01,HG,TW,WC,WP,WT,WO,,,,,,,,,,,,,,,,,,
DD8362E0,GRBN6,NY,43.01,-77.7917,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
177CF75E,GRDN6,NY,41.6861,-74.1653,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1707D7B6,GRYN6,NY,43.2828,-74.9592,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD3C35C6,GVVN6,NY,43.4642,-73.2844,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF119A20,GWTN6,NY,42.7422,-76.2653,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
3B010580,HBMN6,NY,41.3144,-73.9853,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,WF,VB,,,,,,,,,,,,,,
17ED557A,HBTN6,NY,42.3714,-74.6689,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE12D154,HDLN6,NY,43.3114,-73.8678,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD3C5020,HDYN6,NY,43.3189,-73.8447,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
A69215DA,HEMN6,NY,42.7742,-77.6083,NWSERH,PC,VB,TA,YV,,,,,,,,,,,,,,,,,,,,
178553EE,HEUN6,NY,44.5994,-75.3792,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD6E3470,HIKN6,NY,43.3114,-75.1083,USGS01,HP,HP,,,,,,,,,,,,,,,,,,,,,,
DD15E41C,HLEN6,NY,42.0031,-75.3839,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DF02EC20,HMBN6,NY,42.7064,-78.8492,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DF095C06,HMLN6,NY,43.3575,-77.9247,USGS01,HP,HP,,,,,,,,,,,,,,,,,,,,,,
CE7EDBAC,HNFN6,NY,42.9569,-77.5889,CELRB1,HG,PC,VB,HG,,,,,,,,,,,,,,,,,,,,
DF118784,HNYN6,NY,42.9572,-77.5892,USGS01,HG,WT,VB,,,,,,,,,,,,,,,,,,,,,
177CC2C4,HOGN6,NY,40.6089,-73.6561,USGS01,TW,TW,WC,WO,WP,WT,HM,,,,,,,,,,,,,,,,,
