nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
CE469A70,TLTN3,NH,43.4417,-71.5875,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE39746E,WBSN3,NH,43.2969,-71.695,CENED1,HT,,,,,,,,,,,,,,,,,,,,,,,
DE1444F8,WCLN3,NH,43.3875,-72.3625,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
03303FDE,WCNN3,NH,43.65,-72.0639,NHDESB,HG,TA,PC,VB,,,,,,,,,,,,,,,,,,,,
03301932,WEIN3,NH,43.6075,-71.4594,NHDESB,HP,PC,TA,VB,TW,,,,,,,,,,,,,,,,,,,
CE31804C,WERN3,NH,43.0914,-71.66,CENED1,HP,PC,HT,,,,,,,,,,,,,,,,,,,,,
CE3170C8,WHKN3,NH,43.1881,-71.7481,CENED1,PC,HT,HP,,,,,,,,,,,,,,,,,,,,,
DD16509C,WINN3,NH,43.0358,-70.8475,USGS01,HG,TA,VB,,,,,,,,,,,,,,,,,,,,,
CE46FF96,WLBN3,NH,43.6461,-72.3128,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
033091F4,WLFN3,NH,43.5794,-71.1989,NHDESB,TA,XR,PA,US,PC,UP,UD,UR,,,,,,,,,,,,,,,,
CE46F144,WLPN3,NH,43.1261,-72.4372,CENED1,HG,PC,TA,,,,,,,,,,,,,,,,,,,,,
CE468906,WOON3,NH,43.9761,-71.68,CENED1,HG,PC,,,,,,,,,,,,,,,,,,,,,,
15C2013E,WPSN3,NH,43.0336,-72.4328,NWSERH,DY,TA,PC,PC,US,UD,UP,UR,VB,,,,,,,,,,,,,,,
15C2F1BA,WVVN3,NH,43.9458,-71.5108,NWSERH,DY,TA,PC,PC,VB,YV,,,,,,,,,,,,,,,,,,
